epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,2511.21,1.25706,1.52272,1.68054,0.72185,0.58014,0.63822,0.38809,1.57014,1.47687,2.13855,0.00100105,0.00100105,0.00100105
123,2531.74,1.26046,1.52337,1.68148,0.77497,0.56168,0.64988,0.38822,1.58061,1.46158,2.16012,0.000997513,0.000997513,0.000997513
124,2552.23,1.24537,1.4801,1.66224,0.67364,0.56469,0.63851,0.40889,1.46393,1.47968,2.04385,0.000993977,0.000993977,0.000993977
125,2572.72,1.26847,1.53347,1.69704,0.68706,0.52608,0.612,0.36447,1.53729,1.60253,2.11789,0.00099044,0.00099044,0.00099044
126,2593.23,1.23853,1.52104,1.6763,0.6844,0.58972,0.64131,0.37964,1.53662,1.50432,2.20395,0.000986903,0.000986903,0.000986903
127,2613.72,1.24733,1.50571,1.6887,0.6892,0.63663,0.6742,0.4077,1.53485,1.42541,2.14152,0.000983366,0.000983366,0.000983366
128,2634.19,1.25576,1.52897,1.69848,0.72274,0.54888,0.64146,0.39065,1.53928,1.45056,2.15373,0.00097983,0.00097983,0.00097983
129,2654.71,1.23597,1.51584,1.6422,0.66905,0.54764,0.59537,0.36186,1.53611,1.57972,2.1052,0.000976293,0.000976293,0.000976293
130,2675.22,1.24154,1.52849,1.67622,0.65072,0.60752,0.66539,0.40733,1.49894,1.42009,2.11707,0.000972756,0.000972756,0.000972756
131,2695.68,1.22643,1.51713,1.67614,0.70656,0.59366,0.64339,0.38106,1.50212,1.58353,2.1369,0.000969219,0.000969219,0.000969219
132,2716.2,1.25245,1.5309,1.67117,0.75209,0.65144,0.70983,0.41337,1.5204,1.40452,2.09689,0.000965682,0.000965682,0.000965682
133,2736.73,1.2093,1.46981,1.65017,0.7832,0.60926,0.69165,0.40854,1.47711,1.44159,2.09359,0.000962146,0.000962146,0.000962146
134,2757.34,1.18161,1.42191,1.61895,0.69392,0.57599,0.63794,0.37107,1.54055,1.51452,2.11035,0.000958609,0.000958609,0.000958609
135,2777.84,1.23103,1.47516,1.66818,0.74678,0.5993,0.6746,0.41221,1.54805,1.40001,2.12917,0.000955072,0.000955072,0.000955072
136,2798.39,1.2094,1.47081,1.63662,0.67967,0.62128,0.67258,0.4142,1.45561,1.42634,2.08995,0.000951535,0.000951535,0.000951535
137,2818.92,1.19913,1.4518,1.65076,0.68635,0.65606,0.69761,0.41848,1.47348,1.39447,2.06632,0.000947999,0.000947999,0.000947999
138,2839.43,1.19513,1.44649,1.65337,0.69302,0.63496,0.68549,0.41948,1.42432,1.42851,2.01006,0.000944462,0.000944462,0.000944462
139,2859.92,1.20922,1.44909,1.65292,0.76685,0.56942,0.66033,0.39734,1.54091,1.42955,2.11189,0.000940925,0.000940925,0.000940925
140,2880.39,1.22483,1.44264,1.64761,0.80776,0.54971,0.66285,0.39315,1.48746,1.46702,2.06249,0.000937388,0.000937388,0.000937388
141,2900.88,1.23671,1.49953,1.66248,0.65733,0.59714,0.66692,0.41491,1.46467,1.38569,2.04416,0.000933851,0.000933851,0.000933851
142,2921.39,1.20169,1.42126,1.61438,0.70408,0.60063,0.64695,0.40411,1.49581,1.45156,2.06197,0.000930315,0.000930315,0.000930315
143,2941.9,1.22829,1.49126,1.64768,0.74657,0.56929,0.64389,0.37568,1.5593,1.48036,2.22632,0.000926778,0.000926778,0.000926778
144,2962.37,1.17486,1.35305,1.6084,0.77664,0.66473,0.72067,0.42601,1.50038,1.35131,2.11052,0.000923241,0.000923241,0.000923241
145,2982.9,1.17824,1.36344,1.59932,0.74817,0.64599,0.68383,0.401,1.51176,1.41524,2.10024,0.000919704,0.000919704,0.000919704
146,3003.43,1.17311,1.40359,1.59901,0.76317,0.65284,0.71259,0.43217,1.52845,1.40042,2.12826,0.000916168,0.000916168,0.000916168
147,3023.96,1.16567,1.40884,1.60622,0.78191,0.62683,0.70567,0.43036,1.46636,1.31211,2.05663,0.000912631,0.000912631,0.000912631
148,3044.45,1.1636,1.37484,1.59912,0.74718,0.61884,0.66449,0.38975,1.5018,1.38495,2.08926,0.000909094,0.000909094,0.000909094
149,3064.92,1.1501,1.36664,1.58572,0.7171,0.60293,0.65759,0.40043,1.50232,1.41118,2.06338,0.000905557,0.000905557,0.000905557
150,3085.45,1.17189,1.37012,1.58835,0.7885,0.59574,0.69889,0.42079,1.43611,1.42255,2.0294,0.000902021,0.000902021,0.000902021
151,3106,1.18397,1.43199,1.63637,0.76507,0.53892,0.65754,0.41852,1.45388,1.38102,2.06497,0.000898484,0.000898484,0.000898484
152,3126.55,1.16863,1.39001,1.62264,0.80435,0.61736,0.70161,0.43944,1.4341,1.35288,2.04074,0.000894947,0.000894947,0.000894947
153,3147.07,1.17442,1.4034,1.60336,0.76729,0.59681,0.70808,0.43971,1.48346,1.35912,2.11122,0.00089141,0.00089141,0.00089141
154,3167.61,1.15381,1.35427,1.58467,0.79064,0.57643,0.67897,0.40849,1.43265,1.38948,2.0596,0.000887873,0.000887873,0.000887873
155,3188.12,1.17254,1.39286,1.60302,0.78837,0.60732,0.67162,0.41228,1.48445,1.43984,2.04951,0.000884337,0.000884337,0.000884337
156,3208.78,1.1813,1.32405,1.60128,0.86047,0.58188,0.70252,0.42239,1.50173,1.40164,2.05559,0.0008808,0.0008808,0.0008808
157,3229.25,1.12532,1.31771,1.56881,0.80919,0.62637,0.70414,0.43062,1.46137,1.31412,2.04964,0.000877263,0.000877263,0.000877263
158,3249.73,1.13385,1.3263,1.55352,0.78993,0.68365,0.74655,0.44629,1.4908,1.26062,2.07386,0.000873726,0.000873726,0.000873726
159,3270.22,1.14488,1.33287,1.56578,0.75408,0.64465,0.71359,0.40509,1.54187,1.48938,2.11366,0.00087019,0.00087019,0.00087019
160,3290.73,1.17928,1.35832,1.60203,0.71439,0.61889,0.67872,0.42462,1.4712,1.42063,2.08515,0.000866653,0.000866653,0.000866653
161,3311.2,1.15685,1.3146,1.57278,0.70656,0.62811,0.67939,0.43668,1.47685,1.37219,2.06447,0.000863116,0.000863116,0.000863116
162,3331.67,1.15472,1.31723,1.57999,0.84677,0.60598,0.72779,0.42607,1.47421,1.39542,2.03604,0.000859579,0.000859579,0.000859579
163,3352.14,1.12776,1.31827,1.56584,0.66468,0.6333,0.67255,0.41792,1.38366,1.4079,1.96298,0.000856042,0.000856042,0.000856042
164,3372.62,1.1308,1.3723,1.58732,0.74144,0.63225,0.69246,0.42012,1.46352,1.36074,2.05556,0.000852506,0.000852506,0.000852506
165,3393.2,1.11378,1.30716,1.56237,0.79394,0.57584,0.63861,0.40656,1.4686,1.39524,2.05997,0.000848969,0.000848969,0.000848969
